participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
192197,18.0,83.0,54.0,I imagined him being kind and acting like helping them but turning on them once he knew he had their trust.,Guilty,1,1
192197,2.0,78.0,11.0,I imagine there was bias towards her for some reason and that if cameras show her replacimg the dress I dont know why they would think she did it.,Not Guilty,1,0
192197,14.0,87.0,35.0,I think the fact he sold his sailboat made the case a bit more suspiscios but also the DNA doesnt match him and its one word against another.,Not Guilty,1,0
192197,28.0,82.0,61.0,No finger prints makes it seem like he didnt do it but then someone identified him and he had bought the same gas can so it couldve been possible.,Guilty,1,1
192197,30.0,54.0,25.0,I dont think it was him becasue his phone showed him somewhere else when the crash happened and the car was rented so it could make sense his handprint was there if he had rented the car previosly.,Not Guilty,1,0
192197,19.0,48.0,34.0,I think the call being from his phone is suspicipous but if the bullets dont match his gun and someone saw the shots coming from a differetn house it doesnt seem like it wouldve beem him.,Not Guilty,1,0
192197,20.0,50.0,56.0,"I think while there are no finger prints, she couldve cleaned them and aslo couldve been clicking random buttons to make it seem realistic.",Guilty,1,1
192197,22.0,73.0,61.0,Its suspicious that she left with a baby in her arms and maybe the nurse was on her side.,Guilty,1,1
192197,6.0,94.0,81.0,I think shes guilty her fingerprints were on everything and the reciept matched what they said was bouht.,Guilty,1,1
192197,24.0,71.0,36.0,I think she may have been tricked into helping but theres no other eveidnec but her finger[rints on a reciept.,Not Guilty,1,0
