participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
840122,30.0,80.0,66.0,Him coming from the wine bar intoxicated and then taking the SUV,Guilty,1,1
840122,6.0,99.0,66.0,"those are large items to be stolen, I would say guilty if she were wearing them or they were obviously stuffed in a bag.  Were there any other witnesses, because a cashier sees a lot of people in a day and we can't trust one view",Guilty,1,1
840122,20.0,78.0,19.0,"the only confirmed evidence is the item reappearing at a nother store,  but with cameras showing nothing and fingerprints showing nothing I don't think theres any valid resoning",Not Guilty,1,0
840122,24.0,83.0,54.0,"other people testifying about ones character isn't fully reliable.  I don't find it strange that she had touched the receipt, but it is also possible to have a fraud business that is technically registered"".  I want to see if they know the whereabouts of the 3 million $""",Not Guilty,1,0
840122,22.0,85.0,72.0,"besides the other evidence, she has no reason to be leaving the hospital with a baby from work",Guilty,1,1
840122,18.0,91.0,92.0,"I see this happening with all the evidence, the phone calls/messages make sense that they weren't found because using burner phones or alternate forms of communication are common practice in these situations",Guilty,1,1
840122,28.0,69.0,78.0,"It makes sense that there are no fingerprints because everything burnt down.  If the person was confirmed to be him carrying the gas can, then there is valid evidence. ",Guilty,1,1
840122,14.0,64.0,54.0,"It sounds like this guy has evidence of working around money in the past, so I'm not surprised if he sold a boat to cover this bribe payment giving his history of not paying taxes.  I guess there could be reason for someone else's DNA in the envelope, but then we'd need to consider the possibility of other participants.  ",Guilty,1,1
840122,2.0,93.0,59.0,"If it is apparent that the dress she took into the fitting room is the one she hung back up then she's innocent.  But I struggle to trust security cameras from a distance because it would be easy to conceal two dresses as one on a hanger.  Also, its not common practice to bring scissors into a fitting room, so even the fact that they heard her cutting through the tags and that there were even scissors in the first place makes her suspicious ",Guilty,1,1
840122,19.0,68.0,65.0,"The bullet marking are good evidence only if they are positive that was his only gun.  Again, I can't trust someone describing a persons personality because it can be subject to change.  The police call also sounds bad.  And, how can we trust a witness who was probably under the unfluence given the circumstances of being too loud at a party. ",Guilty,1,1
