participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
149839,20.0,86.0,14.0,"What I imagined was a customer walking in the store, shopping for a while. Then try to freebag"" the items he needed. Ms Clarke a cashier that is doing her job as usual. All of a sudden she gets into an argument with that customer. This Customer tried to conceal the stuff that he freebagged by using Ms Clarke argument as a way to get out of the store without being caught. """,Not Guilty,1,0
149839,14.0,86.0,100.0,"Mr Jackson was trying to convince the free zoning agent before the vote by giving him the envelope that contained the bribe money, but Mr Jackson bought that envelope from a shop down the street of his place. The shop owner was helping his little kid study, but his kid was playing with the pen so it broke and the ink made a mess. The shop owner tried cleaning it, while Mr Jackson asked for an envelope and the shop owner provided it but with some ink. ",Guilty,1,1
149839,2.0,36.0,17.0,"Mrs Armstrong went inside the store picked the dress she liked, and wanted to check if the fitting is perfect or not especially that it an expensive dress. When Mrs Armstrong went inside the fitting room she was trying to put her large bag on the hanger it slipped and made a weird sound. The store clerk was trying to organize the clothes laying around the fitting room hall, and all of a sudden she heard that slipping sound of Mrs Armstrong bag and thought that she have used something to cut the tags with. When Mrs Armstrong was trying the dress she felt that it was not the perfect dress for her. She decided not to proceed with purchasing the dress, so she returned it back to the rack. ",Not Guilty,1,0
149839,24.0,39.0,55.0,"Mrs Franklin was shopping online, and she clicked on an item she found interesting and it was her first time visiting this website. All of a sudden a script was activated on the back-end of the webpage that stole her bank information, her private details. The hacker made a victim persona and made sure to track all of her emails and noticed that she works at a specific business. He found a window in which he can inject his fraud to more potential victims that are willing to pay large amount of money. ",Not Guilty,1,0
149839,18.0,88.0,89.0,"Mr Johnson has a second phone in his position that he got from a black market. To secure his footprint and nothing relates to him. He continued to human traffic people from Mexico through some gang that he made a deal with. On a very hot and summer day, Mr Johnson right before he reached the boarder, he made a stop at a gas station to grab a cold drink. He totaly forgot about getting rid of anything that could be used against him if he gets caught. He was very busy organizing the crime that he was commiting. Someone was moving by saw Mr Johnson and the people who where smuggled into the boarder.",Guilty,1,1
149839,6.0,50.0,52.0,"Another woman that looks exactly the same as Mrs Mitchell went inside the store and commited the crime by waiting for Mrs Mitchell to exit the store, but failed to get her hands on the reciept but still continued to commit the crime either way. ",Not Guilty,1,0
149839,28.0,96.0,82.0,"Someone sets Mohammed up by planting the reciept into his place and the witness was mistaken due to maybe saw Mohammed a day prior to burning down the building since he was checking the needed amounts of gas to start the burning process. He did purchase the gas needed to burn the building, but someone overheared that Mohammed was hired to burn the building. ",Not Guilty,1,0
149839,30.0,81.0,79.0,"Juval's alibi may be not true because selfies can be altered or manipulated. His palm print connects him to the SUV, and with his past behavior and eyewitness testimony maybe he commited the attack and used the photos to cover it up.",Guilty,1,1
149839,19.0,80.0,78.0,"Michael was angry so he called 911 about the party but they never acted on it. In the meantime, someone in the house close by fired the gun. The bullets dont match his gun.A witness saw a shooter at a different location, meaning Michael is not the one who did it. ",Not Guilty,1,0
149839,22.0,77.0,76.0,"Patty Garcia was on a different floow when the baby was taken, and her DNA shows that she was only in the hospital. The security footage may show someone disguised as her. The real kidnapper used her identity to avoid any suspicion.",Not Guilty,1,0
