participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
491651,18.0,22.0,24.0,"his dna was found on a solda can, they saw him give an envedlope to a guy in the van, he has other cpnvitions like forgery",Not Guilty,0,0
491651,14.0,42.0,42.0,"his dna was under the envelope, his boat had been in the zone for a little while, he has previous charges of failing to pay taxes",Guilty,0,1
491651,30.0,54.0,53.0,"they found his palm print on the driver side door, hes been convicted of threatining a neighbor before, a witness said they saw him but doesn't know for sure",Guilty,0,1
491651,19.0,39.0,44.0,"sayin g if u dont do something about the party i will, has a past of non violence, a neighbor saw someone outside his window, bullets dont match his gun",Not Guilty,0,0
491651,28.0,42.0,40.0,"a reciept was found of his showing bought a lot of gas, someone said she saw someone that was later identified as him, his former employee said he was not law abiding citizen, someone said he wasn't there",Guilty,0,1
491651,2.0,62.0,79.0,"fingerprint on scissors in the dressing room and the theft tags, video evidence of her going in and coming bavk hanging a dress up, her pastor said she's a good person, ",Guilty,0,1
491651,22.0,50.0,48.0,"fpund dna of hers in the bathroom nearby, prominent leader said shes a truthful person , video evidence of her walking out with the baby, a nurse said she saw her visiting a different patient when alarms were going off",Guilty,0,1
491651,20.0,26.0,29.0,"evidence of hers on the items, a costumer sayis she thinks she put the items in the bag without ringing them up, video evidence shows she put items in with ringing it up first, ",Not Guilty,0,0
491651,6.0,45.0,45.0,"fprmer employee said shes prone to theft, they found ripped up packaging, a clerck said it wasnt her who bought the peanut butter and other stuff, theres a reciept of hers showing she bought the peanut butter and other stuff",Guilty,0,1
491651,24.0,40.0,37.0,"someone that knows her said shes an honest person, evidence on her computer of stuff for her real company but nothing about the fake, someone said they saw people in the fake companyh office but not her",Not Guilty,0,0
