participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
581130,22.0,84.0,75.0,"DNA was found in a bathroom near where the child was taken 

A specialized computer person saw her leaving the hospital with a baby 

She was on a different floor visiting a patient when this took place

A very respected person in the community thinks she is very trust worthy 
",Not Guilty,0,0
581130,14.0,50.0,18.0,"Jackson sold his boat for 43,000 dollars 3 weeks beforehand 

DNA of the bribe envelope was not Jacksons 

Jackson has gotten in trouble for not paying taxes 

A clerk saw someone, who later identified him as Jackson, giving a very similar envelope to someone ",Not Guilty,0,0
581130,28.0,84.0,83.0,"1 am march 11

Mohammads former employer said he is not a law abiding citizen 

Mohammad had a receipt for a 5 gallon gas can, the same type of gas can was found at the scene of the crime 

someone saw a man, who was later identified as mohammad at the crime scene before it took place 

there was no DNA evidence of him at the crime scene ",Guilty,0,1
581130,30.0,100.0,78.0,"an expert said that a handprint on the SUV drivers door matches juvals 

Juval threatened past coworkers at a construction site before 

Juval had selfies on his phone showing he was 2 miles away drinking wine 

A witness said he might have seen Juval but it could have been someone else ",Guilty,0,1
581130,19.0,35.0,1.0,"Mr anderson called the cops and said If you dont do something about it I will""
A lady thought she saw someone across the street from mr andersons house with a gun in a window 
Andersons neighbors believe he is very non-violence 
The bullets from andersons gun don't match up with the bullets that were fired """,Not Guilty,0,0
581130,6.0,80.0,62.0,"Anderson had the receipt with the items people said 

Andersons employer said she is prone for theft 

A target employee said it was not her that bought those items 

DNA from the torn items in the changing room matches hers ",Guilty,0,1
581130,20.0,83.0,0.0,"no security footage made it clear that she was free-bagging 
Her priest said she is very respectable 
A customer said she rang up someone before her and might not have run everything up 
",Not Guilty,0,0
581130,18.0,92.0,60.0,"DNA on a soda can matches his as a state trooper pulled up to a van containing immigrants 
Nothing on his phone or computer shows he has sent anything to mexico 
Already got in trouble with the law for making fake visas 
Someone said he was seen with a big 16 person van ",Not Guilty,0,0
581130,24.0,74.0,58.0,"She had evidence of 2 real businesses she owns on her computer ,but nothing about the scam business 
Her employer thinks she is a trustworthy person 
Someone who worked in the same building as the scam company saw many people go in, but never mrs jackson 
DNA of hers was found on a paper related to the scam business",Not Guilty,0,0
581130,2.0,77.0,60.0,"a pair of scissors in the changing room can't conclude if it was her fingerprints or not 
she walked into the changing room with the dress, then walked out and put it back on the rack
a worker heard scissor noises coming from a changing room. that changing room was hers 
her lawyer said she is very trusted within her community ",Not Guilty,0,0
