participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
927359,18.0,100.0,70.0,"I picutred in my head the lady observing Mr. Johnson handing the envelope over. I also imagined footage of the van driving off and the cops later finding his DNA as evidence.
",Guilty,1,1
927359,20.0,47.0,0.0,"I imagined the security footage Ms. Clarke bagging the items. I also imagined a judgy and impatient lady waiting in line, likely the woman who made the claim that she did not scan all of them. Lastly, I imagined Ms. Clarke in church.",Not Guilty,1,0
927359,24.0,62.0,90.0,"I imagined a lady convincing homeowners about how her company can refinance their homes. I picture her inside of these homes with parents. Additionally, I imaged footage of a suspicous office space showing people cominng and going.",Guilty,1,1
927359,2.0,100.0,1.0,"I imagined the accused walking out of the dressing room and hanging her dress back on the rack. I also imagined the store clerk glancing in her direction while working, but not paying total attention.",Not Guilty,1,0
927359,30.0,46.0,31.0,"I imagined the scene where the SUV collides with the pedestrians. People are frantic and making sure their friends and family are okay. Few, if any, pay attention to the driver of the vehicle in the midst of the chaos.",Not Guilty,1,0
927359,22.0,54.0,54.0,"I imagine the hospital security footage showing a lady leaving with the baby. She looks nervous and in a rush. Her head is down in attempt to avoid being seen. I imagined footage inside the hospital showing the mother waking in a panic, while nurses frantically look around.",Guilty,1,1
927359,6.0,100.0,48.0,I imagined her apartment being searched. It is messy. The kitchen is unorganized with dishes and ingredients out. Random receipts inlcuding the Target one are spread out on the counter.,Guilty,1,1
927359,19.0,49.0,33.0,I imagine the man on the phone with 911 angrily shouting while looking out his window at the party. I imagine the cops showing up after shooting with the man and many other neighbors now outside watching.,Not Guilty,1,0
927359,28.0,60.0,100.0,I imagine a homeless man sleeping in a building in a sleeping bag. I then imagine him waking when he starts to hear explosions. The building erupts in flames. ,Guilty,1,1
927359,14.0,42.0,63.0,I imagine the accused selling his boat by the water. I then imagine footage of him handing over the envelope to the official.,Guilty,1,1
