participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
498099,14.0,74.0,71.0," the dna did not match mrs. jackson

sold the boat right after the money was transferred



past legal and tax issues",Guilty,0,1
498099,22.0,77.0,84.0,"DNA matched the suspect multiple times


multiple eyewitnesses",Guilty,0,1
498099,2.0,16.0,22.0,"Has been labeled as a trustworthy person multiple times


minister voches for her



video evidence shows her going to try it on then returning the dress


fingerprints dont match her",Not Guilty,0,0
498099,28.0,19.0,71.0,"eye witness say him holding a gallon of gas 


pat expirences as being a bad guy


no fingerprints match",Guilty,0,1
498099,30.0,36.0,59.0,"palm print from drivers door matched 


selfie shows  he was two blocks away when the car was crashed 


past expirences in the past",Not Guilty,0,0
498099,6.0,20.0,86.0,"torn up packageing in the dressing room


prone to theft by coworkers


recipt for the same items at the same time of the theft


people say she wasnt one to buy  that sort of stuff ",Guilty,0,1
498099,19.0,27.0,90.0,"verbal threat over the phone
 911 call

bullets dont match


deemed as dangerous


",Guilty,0,1
498099,18.0,34.0,81.0,"DNa matched


past looking for fogery 



eye witnesses",Guilty,0,1
498099,20.0,34.0,76.0,"eyewitness saying saw him steal 


past expirences being a good person",Guilty,0,1
498099,24.0,32.0,78.0,"insurance agent


honest man


fingerprints match",Guilty,0,1
