participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
347081,14.0,38.0,66.0,"DNA not matching Mr. Jackson. Sold his boat for $43,000. Was seen handing the same envelope as a bribe to the officer before the trial. Accused of not paying taxes. ",Guilty,0,1
347081,18.0,85.0,81.0,Johnson promised immigrants transportation and work visas. He paid drivers to pick them up at the border then take them to locations where other trafficers were at. Johnson's DNA was found on a soda can that fell from a 16 seater van carrying immigrants. ,Guilty,0,1
347081,2.0,47.0,26.0,"Fingerprints found on scissors in the dressing rooms along with theft prevention tags were found but could or could not be tied back the Ms. Armstong. Video footage shows Ms. Armstong entering with the dress, leaving then hanging the dress back on the rack. Someone heard scissors in a dressing room and a worker identified Ms. Armstrong from coming out of that dressing room. She has a good reputation of honesty with her parishioners. ",Not Guilty,0,0
347081,22.0,57.0,65.0,Ms. Garcia is a very honest person allegedly. She was seen visiting another patient on a different floor when alarm went off by another nurse. DNA was found and matched her DNA near the bathrooms around the ER. Footage shows Ms. Garcia leaving with a baby in her arms. ,Guilty,0,1
347081,20.0,45.0,2.0,No fingerprints match hers from recovered items. No obvious footage of Ms. Clarke bagging items without hitting buttons first. A customer thinks not all items were rang up when Clarke was bagging in front of her. She has a good reputation with her church. ,Not Guilty,0,0
347081,28.0,50.0,61.0,"Was indentified with a gas can outside of the building before incident. Reciept for gas can found in debri was found. No DNA match. 
",Not Guilty,0,0
347081,6.0,93.0,97.0,Packaging found in dressing rooms with her DNA. according to previous employer she was prone to theft. Reciept for chocolate milk and raisin bread were found. ,Guilty,0,1
347081,30.0,73.0,80.0,Palm print on vehicle door matches Mr. Juval's print. Selfies were seen on his phone at a wine shop a 2 miles from where hte incident was. He has already threatened workers in his neighborhood to do something of this nature. An adult testifies to have seen Mr. Juval but isnt fully convincced if it was him. ,Guilty,0,1
347081,24.0,50.0,49.0,She seems liike an honest person. With her records and records of two other legit companies she owns nothing incriminating was found. Her fingerprints were on a check under the fake company. A worker has seen many people work in the fake companie's building but never her.,Not Guilty,0,0
347081,19.0,35.0,31.0,History of non- violence. Witness says she saw a gun coming from an openm window across the street. A call from Mr. Anderson saying of they don't do anything about the partyhe will. The shell casing don't mathc the test bullets fires from the gun.,Guilty,0,1
