participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
171652,14.0,54.0,39.0,I imagined that Jackson had a motive in this case to make more profit due to favorable zoning. It's not his first time being involved in financial crime too.,Not Guilty,1,0
171652,22.0,45.0,15.0,I imagined Garcia to be innocent in this case. It could be any baby she's holding in her hands whoch would also be a kidnapping unless it's hers. ,Not Guilty,1,0
171652,28.0,45.0,69.0,I believe this case is strong against the defendant. It doesn't explicitly say he was the one that destroyed the builidng but due to circumstances it's hard to rule him out.,Guilty,1,1
171652,6.0,86.0,30.0,"I imagined her to be stealing the piece of clothing. The employee said it's not her however it's hard to recall faces. However, due to lack of evidence I'd have to vote not guilty as it's not beyond reasonable doubt. ",Not Guilty,1,0
171652,18.0,27.0,65.0,Reagrding the phone evidence. he probably used another phone so he could not be tracked. He has a history of a less serious but similar crime. There are way too many coincedences so he definitely needs a good laywer. ,Guilty,1,1
171652,30.0,13.0,34.0,Based on the evidence provided I'd like to see more info about him drinking wine during the crime. Without knowing for sure I can't vote guilty. ,Not Guilty,1,0
171652,2.0,65.0,24.0,I imagined the defendant to be not guilty. A lot of evidence point towards her not being guilty and that has to be adressed. ,Not Guilty,1,0
171652,20.0,57.0,10.0,The lack of evidence is astounding. No way you can convict anyone based on the evidence provided. ,Not Guilty,1,0
171652,24.0,31.0,62.0,my imagination says she's guilty. Sure she didn't have a lot of physical proof of the fraud however it sounds like she orchestrated the entire thing and had employees doing most of the dirty work for her.,Guilty,1,1
171652,19.0,29.0,34.0,This is a hard one. The 911 call is very suspicious and can be interpreted as a warning. However I still think it's a lack of evidence in this case and I would want clarification. ,Not Guilty,1,0
