participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
20293,14.0,85.0,30.0,"he sold his sailboat 4 weeks before for 43000, he has previously been charged with not paying taxes, a witness said she saw mr jackson give an envelope of the same type to a zoning official before the vote, the dna under the sealed flap of the envelope belonged to another individual not mr jackson",Not Guilty,0,0
20293,28.0,5.0,43.0,"an eyewitness says they saw someone who they later identified as mr. farooqi carrying a gas can next to the building before the time of the fire, his former employer believes that he is not a law abiding man, there is a receipt for him buying a 5 gallon gas can, an expert testified his fingerprints were not at the scene of the fire",Not Guilty,0,0
20293,18.0,64.0,84.0,"his dna was found on a soda can that dropped out of a van carrying immigrants at a rest stop, an eyewitness said she saw him hand an envelope to a driver of a full 16 person van, he was previously arrested for forging immigration forms or documents, he has no emails, texts, or calls to anything in mexico",Guilty,0,1
20293,30.0,28.0,14.0,"a tourist who was hit by the fleeing car said it couldve been mr. Juval but it also might not have been, he was convicted 5 years ago for threatening workers at a construction site in his neighborhood, selfies from his phone show that he was at a wine bar 2 miles from the incident at the time the car drove onto the walkway, an expert testified a palm print that matches him was found on the handle of the car.",Not Guilty,0,0
20293,19.0,76.0,3.0,"a neighbor reported seeing someone with a gun at an open window in a house across the street from mr. andersons house, a neighbor said he has a reputation for non-violence, the markings on the bullets in the neighbors yard do not match those from andersons only gun, a caller from his phone called the police and is quoted saying if you dont do something about this party i will",Not Guilty,0,0
20293,20.0,88.0,29.0,"of the many fingerprints found on the alleged freebagged items none of them belonged to ms. clarke, a customer remembers seeing her put items into a bag for the customer ahead of her and thinks some of them may not have been rung up, a store security camera video shows no obvious evidence of ms. clarke bagging items without hitting keys on the register beforehand, a priest at the church she goes to says she has an excellent reputation for honesty among the church community",Not Guilty,0,0
20293,24.0,50.0,45.0,"ms. franklins computer contains meticulous records of two legitimate businesses she owns as well as her personal budget and tax reports but nothing connected to the fake company, her fingerprints were found on a collection notice from the fake company, her employer states that in his opinion she is an honest person, an insurance agent who worked in the same building as the fake company says he saw many people in the office of the company but never ms. franklin",Not Guilty,0,0
20293,22.0,6.0,67.0,"a digital evidence expert testified that security camera footage from the hospital shows ms. garcia leaving the hospital with a baby in her arms, a nurse says she saw ms. garcia visiting a patient on a different floor at the time an alarm rang alerting nurses that  a baby had been taken, a prominent figure in the community testifies that his opinion on ms. garcia after knowing her for many years is that she is a truthful person. DNA found in a bathroom near the emergency exit doors matched ms. Garcias DNA",Guilty,0,1
20293,2.0,75.0,34.0,"a store employee said she heard the sound of scissors coming from a fitting room and identified mrs. armstrong as the woman who walked out of that room, her minister testified that she is known as being very truthful among her fellow parishers, security camera from inside the store shows mrs. armstrong enter a fitting room with the dress and then leaving and hanging the dress back on the rack, an expert said the smudged fingerprints on scissors and cut off anti theft tags found cannot match or exclude mrs. armstrong",Not Guilty,0,0
20293,6.0,75.0,63.0,"a receipt from around the time of the theft for peanut butter, chocolate milk, and raisin bread was found in her home, packaging in the fitting room contains her dna, a cashier testifies she was not the woman who bought peanut butter, chocolate milk, and raisin bread, her former employer said in his opinion she seems like she would be prone to theft",Guilty,0,1
