participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
93,24.0,44.0,55.0,"What I imagined was Mrs. Franklin creating a fake company in order to do gain some extra money with the help of some of her coworkers, but she was the only one caught so, in order for her to get away from this, her coworkers are going to try and help her case and get her out of it if possible if it isnt and the coworkers have evidence against them, then they will end up throwing her under the bus for the fraud done.",Guilty,1,1
93,18.0,51.0,64.0,"What I imagined was Darnell getting involved by creating the fake documents that he was known to do in the past to get a little extra money, but was given a burner phone or another form of communication in order to be able to plan out the meeting place and the payment, waiting for the van to get to the designated location he drank a soda in order to refreash himself, and without thinking he threw it away in the trash can.",Guilty,1,1
93,20.0,32.0,15.0,"what I imagined was, Astrid doing her job quick and efficiatly so much so that one of the custumers could have assumed she was placing things in bags without scaning them first. And since there is no actial evidece such as finger prints or video footage to prove that she did it, she cannot be guilty.",Not Guilty,1,0
93,28.0,47.0,49.0,"Mohammad went to get gas to refill his tank and decied that he forgot something or needed to go back to get something, so he did after he went to get gas, when he got there he couldve 1) actually been holding a gas tank or 2) he couldve been holding somthing else. OR the eye witness couldve mistaked him for someone else when he was actually somewhere else after getting gas.",Not Guilty,1,0
93,6.0,57.0,53.0,"Eleanor had decied to go into the changing room and try to swap out clothes, and when she did, she got some groceries in order to try and cover up and not look like she actually did swap out clothes. OR I was also looking at it through a different perspective, she couldve tried on those same exact clothes, that many many people not only end up touching but also trying on and ended up being unlucky enough for the prosecuters to assume she stole the clothes, even though there was a receipt at her house there is an eyewitness that stated she didnt buy those itemsd.",Not Guilty,1,0
93,22.0,50.0,61.0,"Patty walked into the hospitial, with a plan in stealing a baby, this may be the cause of a mental illness or just plainly wanting to kidnap a child to have for herself, when she went to the hospitial she went to go vist someone and then planned to sneak past the nurses and take a baby and when she saw a chance she ran and took the baby.",Guilty,1,1
93,30.0,76.0,58.0,"Motel was drinking and he mightve had too much to drink that he couldve gotten into the idea or a mood so he ended up drinking and driving which ended in that tragedy of running people over, and when he fled the scene he didnt think about wiping down his finger tips or DNA.",Guilty,1,1
93,19.0,66.0,34.0,"Mr Anderson, called the police in order to try and stop the noise coming from the party when he spoke to the operater he was angery and said if you dont do somthing I will""  but people can say things and not actually do anything about it. I assume that somone else was angery at the party or another neighbor was distrubed by all the noise that they decied to start shooting and hurting those still at the party but since Mr. Anderson was the only one who called in and said those words it looks like it would have been his doing even though the bullets dont match.""",Not Guilty,1,0
93,14.0,45.0,23.0,"Tyrone was needng the extra money in order to pay off other things, and so someone saw that he would be the perfect person to frame the crime on, so they decied to make it look like he was the one being bribed with the money when he actually wasnt because if he was then he wouldnt have had to sell his boat in order to get that money to pay off his lones rent etc.",Not Guilty,1,0
93,2.0,44.0,14.0,"She was looking around the store to see what she could find that she liked and when se saw a dress she decied to go try it on, at the same time someone in the fitting room was cutting the tags off and she was mistaken to be that person. But as she walked about she came out with the dress and put it back on the rack indicating that she didnt steal the dress.",Not Guilty,1,0
