participant,rank,realrate.response,casestrength.response,responseTextBox.text,verdict.response,condition,verdict
125361,2.0,61.0,75.0,I imagine that Mrs Armstrong most likely stole the dress since she tried it on and there were witnesses that heard her cutting tags so that gives me strong evidence that she did in fact steal the dress.,Guilty,1,1
125361,14.0,98.0,98.0,I think Mr Jackson is most likely guilt given that he has a history of not paying taxes and it doesn't seem out of character for him to bribe someone to get what he wants.,Guilty,1,1
125361,28.0,98.0,28.0,I feel that there is no way someone could truly identify the witness since this accident occured at night. I also feel if there are no finger prints of the witness at the crime scene that matches his that this case is not strong enough to convict someone of manslaughter.,Not Guilty,1,0
125361,19.0,49.0,62.0,I would have to say Micheal is most likely not guilty given that his bullet from his gun does not match the one found inside the neighbors house. I would also say that it could of been someone walking by so not from his direct house when they shot the gun so I would have to say for this he isn't guilty.,Not Guilty,1,0
125361,6.0,15.0,86.0,I think that most likely the defendant is guilty since her former employer said that she was prone to theft and that there are fingerprints that match hers in the dressing room. I would say that even if she didn't end up buying anything else from target she would still be guilty.,Guilty,1,1
125361,18.0,82.0,93.0,I would have to say Mr Johnson is guilty given that he used to have charges against him bringing people to the US illegally from Mexico and that he was identified by someone getting into a van with immegrants and there was the soda can that had his DNA on it.,Guilty,1,1
125361,30.0,73.0,25.0,"Although it seems very likely it could of been the defendant given his past agresstion history, I don't think he is guilty since there is no strong evidence that anyone saw him except the boot print and there was a selfie of him drinking wine at the time of the crime somwhere else.",Not Guilty,1,0
125361,20.0,73.0,47.0,I would have to say Ms Clarke is not guilty given that there are no finger prints of hers on the items and there was so video footage of her committing these crimes so therefore I would have to find her not guilty.,Not Guilty,1,0
125361,22.0,97.0,98.0,"I would have to say Ms Garcia is guilty even if she is a very truthful person she still had her fingerprints in the bathroom nearby, had eye witnesses that she was in the hospital right before the kidnapping and there is video evidence of her walking out with a baby.",Guilty,1,1
125361,24.0,82.0,26.0,I would have to say theres's not enough strong evidence connecting the defendant to the crime and since there is no record of her actually having this other business and owning it that she would be found not guilty.,Not Guilty,1,0
